params,mean_test_score,std_test_score,rank_test_score
"{'C': 3.845401188473625, 'max_iter': 960, 'penalty': 'l2', 'solver': 'liblinear'}",0.9112708843488088,0.00506474334781154,15
"{'C': 7.896910002727692, 'max_iter': 120, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9106768300846639,0.007374615220376909,24
"{'C': 1.6599452033620266, 'max_iter': 430, 'penalty': 'l2', 'solver': 'liblinear'}",0.91180134668732,0.005422708683912773,11
"{'C': 8.761761457749351, 'max_iter': 199, 'penalty': 'l2', 'solver': 'liblinear'}",0.9111786295594921,0.005460748539890591,19
"{'C': 0.30584494295802445, 'max_iter': 869, 'penalty': 'l2', 'solver': 'sag'}",0.8868990308103821,0.003594369835757778,36
"{'C': 9.485527090157502, 'max_iter': 485, 'penalty': 'l2', 'solver': 'sag'}",0.8880365865109653,0.0036866007680065554,32
"{'C': 1.9340450985343383, 'max_iter': 559, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9100502098308884,0.005628914696380421,25
"{'C': 5.347564316322378, 'max_iter': 847, 'penalty': 'l2', 'solver': 'newton-cg'}",0.9124623803329144,0.005195531411596795,6
"{'C': 3.0122914019804194, 'max_iter': 158, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9098610591207281,0.005466729784863926,30
"{'C': 0.5666566321361542, 'max_iter': 799, 'penalty': 'l2', 'solver': 'liblinear'}",0.9111258712748359,0.005398500184629886,21
"{'C': 3.9246199126716275, 'max_iter': 343, 'penalty': 'l2', 'solver': 'newton-cg'}",0.9125390132242389,0.005196520296765513,4
"{'C': 0.5645041271999772, 'max_iter': 918, 'penalty': 'l2', 'solver': 'saga'}",0.8878418356795571,0.0036203203780252823,34
"{'C': 4.604992519695429, 'max_iter': 373, 'penalty': 'l2', 'solver': 'sag'}",0.8867577740213776,0.0035058188924662836,37
"{'C': 9.522017556848526, 'max_iter': 113, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9118463668327548,0.006521445728277024,10
"{'C': 3.954165025399161, 'max_iter': 445, 'penalty': 'l2', 'solver': 'saga'}",0.8806404759972049,0.0042724075178013615,44
"{'C': 2.40893825622149, 'max_iter': 191, 'penalty': 'l2', 'solver': 'sag'}",0.8778752059174841,0.005152276508797803,48
"{'C': 1.3203823484477883, 'max_iter': 608, 'penalty': 'l2', 'solver': 'liblinear'}",0.9110353853090404,0.005549376943159625,22
"{'C': 9.193204020787821, 'max_iter': 661, 'penalty': 'l2', 'solver': 'sag'}",0.8879727756398758,0.0037153240169769406,33
"{'C': 3.21711076089411, 'max_iter': 489, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9100245672739872,0.005620138989563246,26
"{'C': 5.777003278199914, 'max_iter': 576, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9100157986860328,0.005615464112581912,27
"{'C': 7.851328233611145, 'max_iter': 261, 'penalty': 'l2', 'solver': 'lbfgs'}",0.909996861517493,0.005620608621463749,29
"{'C': 9.048273504276487, 'max_iter': 369, 'penalty': 'l2', 'solver': 'sag'}",0.8866848990197781,0.003497599458813084,39
"{'C': 0.5522728891053806, 'max_iter': 395, 'penalty': 'l2', 'solver': 'saga'}",0.878509859290536,0.004964569184960818,46
"{'C': 3.9867728968948204, 'max_iter': 437, 'penalty': 'l2', 'solver': 'saga'}",0.8803327652844211,0.004383726959653649,45
"{'C': 5.967511656638482, 'max_iter': 316, 'penalty': 'l2', 'solver': 'sag'}",0.885382433667149,0.003524168883677725,41
"{'C': 6.170342476866846, 'max_iter': 592, 'penalty': 'l2', 'solver': 'newton-cg'}",0.9124346009125782,0.005206759659636867,7
"{'C': 3.062735057040824, 'max_iter': 912, 'penalty': 'l2', 'solver': 'newton-cg'}",0.9125947931278897,0.005190543048284994,2
"{'C': 0.2563640674119393, 'max_iter': 620, 'penalty': 'l2', 'solver': 'newton-cg'}",0.9124964960570532,0.005376253591812848,5
"{'C': 2.087156815341724, 'max_iter': 571, 'penalty': 'l2', 'solver': 'liblinear'}",0.9117969255604443,0.005853520484167135,12
"{'C': 2.0884240408880514, 'max_iter': 491, 'penalty': 'l2', 'solver': 'liblinear'}",0.9112284419092218,0.0056452106724257335,16
"{'C': 8.001755405312057, 'max_iter': 478, 'penalty': 'l2', 'solver': 'saga'}",0.8817952753754739,0.0039808677896974705,43
"{'C': 9.36300878513349, 'max_iter': 140, 'penalty': 'l2', 'solver': 'sag'}",0.870648940977752,0.006917374560270923,49
"{'C': 8.731034258755935, 'max_iter': 939, 'penalty': 'l2', 'solver': 'sag'}",0.8864202224430594,0.003535196923036206,40
"{'C': 3.408980248526492, 'max_iter': 147, 'penalty': 'l2', 'solver': 'saga'}",0.8477180829598279,0.012074436079039826,50
"{'C': 7.39606178338064, 'max_iter': 971, 'penalty': 'l2', 'solver': 'liblinear'}",0.9111816511406969,0.005758835527996586,17
"{'C': 5.712434258477011, 'max_iter': 838, 'penalty': 'l2', 'solver': 'saga'}",0.88743089147031,0.003529425858194948,35
"{'C': 9.817120953891036, 'max_iter': 742, 'penalty': 'l2', 'solver': 'newton-cg'}",0.9123307780634633,0.005229505084340525,9
"{'C': 7.317295211648732, 'max_iter': 602, 'penalty': 'l2', 'solver': 'liblinear'}",0.9115475004395556,0.005428355838347049,14
"{'C': 5.32732829381994, 'max_iter': 114, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9111293339601577,0.006156882226167686,20
"{'C': 0.35419126744095186, 'max_iter': 560, 'penalty': 'l2', 'solver': 'liblinear'}",0.9111796619782815,0.005587752836968958,18
"{'C': 0.4142918568673425, 'max_iter': 842, 'penalty': 'l2', 'solver': 'newton-cg'}",0.912682994199983,0.005311600696441472,1
"{'C': 3.243559810763267, 'max_iter': 195, 'penalty': 'l2', 'solver': 'sag'}",0.8782960239151244,0.005034587583034352,47
"{'C': 9.17566473926093, 'max_iter': 506, 'penalty': 'l2', 'solver': 'saga'}",0.8826431745740846,0.0038578139148817397,42
"{'C': 5.4984109130167305, 'max_iter': 640, 'penalty': 'l2', 'solver': 'sag'}",0.8880523559227658,0.003716364971648283,31
"{'C': 9.52853570557981, 'max_iter': 938, 'penalty': 'l2', 'solver': 'liblinear'}",0.9108499923863127,0.005199355880955566,23
"{'C': 7.047849330397045, 'max_iter': 895, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9100059985241264,0.005614098868883325,28
"{'C': 6.343540481337932, 'max_iter': 673, 'penalty': 'l2', 'solver': 'newton-cg'}",0.9124281902794884,0.00521128057746824,8
"{'C': 1.1549425983027062, 'max_iter': 895, 'penalty': 'l2', 'solver': 'sag'}",0.886722480352506,0.0035729973087006536,38
"{'C': 2.284404372168336, 'max_iter': 439, 'penalty': 'l2', 'solver': 'liblinear'}",0.9116353331257642,0.005025135349640028,13
"{'C': 3.34345021005274, 'max_iter': 447, 'penalty': 'l2', 'solver': 'newton-cg'}",0.9125757822816085,0.005189754414653569,3
