params,mean_test_score,std_test_score,rank_test_score
{'var_smoothing': 3.8454011884736255e-10},0.9015300989029086,0.005628751194510067,16
{'var_smoothing': 9.607143064099163e-10},0.9015414833180403,0.00562729880709898,1
{'var_smoothing': 7.419939418114051e-10},0.9015368779705317,0.005626745311881088,6
{'var_smoothing': 6.086584841970366e-10},0.9015319410427806,0.005624701839204339,13
{'var_smoothing': 1.6601864044243653e-10},0.9015206671603329,0.00562455281315259,26
{'var_smoothing': 1.6599452033620266e-10},0.9015206671603329,0.00562455281315259,26
{'var_smoothing': 6.808361216819946e-11},0.9015188987066723,0.00562568136267067,29
{'var_smoothing': 8.761761457749352e-10},0.901540746460267,0.005627989599559269,3
{'var_smoothing': 6.111150117432089e-10},0.9015321620992438,0.005624635297615847,10
{'var_smoothing': 7.180725777960455e-10},0.9015360305861557,0.005625964468767304,7
{'var_smoothing': 3.0584494295802445e-11},0.9015180144806022,0.00562514637336203,30
{'var_smoothing': 9.799098521619942e-10},0.9015414096322629,0.005627602095571904,2
{'var_smoothing': 8.424426408004217e-10},0.9015393464361446,0.005628663601220575,4
{'var_smoothing': 2.2233911067827615e-10},0.901522951410308,0.0056251045426810985,22
{'var_smoothing': 1.918249672071006e-10},0.9015219198142036,0.005624830528889747,23
{'var_smoothing': 1.934045098534338e-10},0.9015218461290777,0.005624576251440717,24
{'var_smoothing': 3.1424224295953776e-10},0.9015255304010032,0.00562698335085533,18
{'var_smoothing': 5.347564316322378e-10},0.901532898953325,0.005626705554922515,8
{'var_smoothing': 4.419450186421158e-10},0.9015302462735943,0.005628180853711421,15
{'var_smoothing': 3.012291401980419e-10},0.9015251988162001,0.005626443317942303,19
{'var_smoothing': 6.218528947223795e-10},0.9015320884134665,0.005625413056829987,11
{'var_smoothing': 1.4949386065204184e-10},0.9015207776893245,0.005624810871907768,25
{'var_smoothing': 3.0214464853521817e-10},0.9015251988162001,0.005626463566182348,19
{'var_smoothing': 3.7636184329369176e-10},0.9015299146883565,0.005629212419362633,17
{'var_smoothing': 4.66069984217036e-10},0.9015305410151834,0.005628421428523737,14
{'var_smoothing': 7.951759613930136e-10},0.9015384990526376,0.005627207333724657,5
{'var_smoothing': 2.0967378215835973e-10},0.9015230987814282,0.005625439014074803,21
{'var_smoothing': 5.242344384136116e-10},0.9015327515817703,0.005627291853235282,9
{'var_smoothing': 6.024145688620424e-10},0.9015320884134665,0.005624707489218267,11
{'var_smoothing': 5.6450412719997723e-11},0.9015190460773581,0.005625175841015966,28
