Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,OperatingSystems,Browser,Region,TrafficType,Weekend,Month_Aug,Month_Dec,Month_Feb,Month_Jul,Month_June,Month_Mar,Month_May,Month_Nov,Month_Oct,Month_Sep,VisitorType_New_Visitor,VisitorType_Other,VisitorType_Returning_Visitor,Revenue_int
1,12.927151632459381,0,16.893091311289304,37,818.9651438911362,0.0032753911178050646,0.02587769324770251,7.41808108507429,0.0,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4,140.876186789608,0,31.076043228218055,24,786.950469323339,0.007408859345478377,0.026656211941250167,18.134041226560704,0.0,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,13.1,0,0.0,111,4208.752099,0.003477744,0.015856149,0.0,0.0,2,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2,24.2,0,0.0,46,1376.3,0.008163265,0.03537415,6.012671082,0.0,2,4,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,5.0687198653591965,3,459.9789790350023,72,2523.672951552477,0.0017474579393482916,0.0049393014482684,29.814292124586675,0.0,1,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3,88.36931776585466,0,0.0,6,164.92202855925245,0.002874590566151934,0.027395492109714044,0.0,0.0,2,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.0,0,0.0,2,18.0,0.0,0.1,0.0,0.0,2,2,2,6,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0.0,0,0.0,11,272.0,0.0,0.016666667,0.0,0.8,2,2,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,1,1,6,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,10.0,0,0.0,23,271.5785714,0.0,0.008333333,0.0,0.0,2,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0.0,0,0.0,23,383.0,0.031818182,0.047575758,0.0,0.0,1,1,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,11.284983636895143,0,0.0,32,1649.721118378656,0.006490658052247678,0.026046811500950475,9.6982013664827,0.0,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,30.886101944124643,1,118.28219331712515,24,841.2020744081126,0.0,0.007577851724783132,34.82198212486147,0.0,2,2,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,27.5,0,0.0,37,1673.593939,0.001851852,0.040162037,0.0,0.0,2,4,3,10,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
6,380.9273090707481,1,58.68937010892745,112,4432.669568907133,0.0031627314460798087,0.019497180978581052,8.534858812791478,0.0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3,71.71095564655155,0,0.0,3,48.57941723814652,0.0,0.028991625308742584,28.127196229311025,0.0,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3,68.13606029496158,0,0.0,20,1174.4586724931564,0.0,0.010916527060827432,27.598605202967057,0.0,2,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0.0,0,0.0,12,362.186315581585,0.0,0.016215208409306302,230.23078190693747,0.0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0.0,0,0.0,23,997.3142857,0.0,0.039130435,0.0,0.0,1,1,3,15,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
7,156.5303048276977,0,3.198244752025121,81,2394.6355585332462,0.0033605367694091283,0.011820410562960548,18.917746496033182,0.0,2,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
5,776.1927481173689,0,3.785281326672317,19,883.4996389817684,0.0,0.009502678446181804,45.796033985973814,0.0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0.0,0,0.0,4,93.0,0.0,0.1,0.0,0.0,2,2,9,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
6,302.0,0,0.0,18,834.6666667,0.004761905,0.021269841,0.0,0.0,1,1,1,9,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
7,136.64067793900742,0,1.6388595990086365,82,1714.6555590807902,0.002817843869308138,0.023939947672826437,4.107068402150615,0.0,1,2,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
1,13.800710039539926,0,0.0,16,569.592685452062,0.004825423042493994,0.01686936067402812,32.67837716141873,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.0,0,0.0,46,2425.083333,0.010869565,0.027681159,0.0,0.6,1,1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0.0,0,0.0,7,93.66666667,0.028571429,0.04,0.0,0.0,1,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,8.3870041289199,0,0.0,21,699.389325631209,0.02795713672265879,0.037140832350711174,10.560467414521417,0.0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0.0,0,0.0,2,0.0,0.2,0.2,0.0,0.8,3,2,1,13,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0.0,0,0.0,2,24.5,0.0,0.1,0.0,0.0,3,2,2,11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0.0,0,0.0,2,29.893876547331306,0.0,0.066666667,20.32250294332737,0.0,1,7,5,19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2,48.0834237840163,0,0.0,16,676.7705527440622,0.0,0.017292186473689058,8.651389091994801,0.0,3,2,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0.0,0,0.0,8,56.33333333,0.0,0.0125,0.0,1.0,2,2,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
7,177.21534711721506,1,134.89841671287448,20,654.2626036108861,0.0,0.008961919710771525,19.426915661127367,0.0,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.0,0,0.0,2,66.5,0.066666667,0.166666667,0.0,0.0,3,2,3,13,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2,31.2,0,0.0,13,385.3,0.00625,0.027083333,0.0,0.0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
10,392.0,2,193.1666667,106,3711.605357,0.001754386,0.012573099,0.850509525,0.0,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
1,51.0,0,0.0,66,1859.5,0.005128205,0.00974359,0.0,0.4,2,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
4,100.0666667,0,0.0,30,310.3355556,0.0,0.000480769,28.52395644,0.0,2,2,5,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
4,70.4,2,47.4,8,97.9,0.05,0.058333333,0.0,0.0,1,2,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
4,62.0,1,87.6,88,3634.585714,0.00556391,0.035701754,1.435224011,0.0,2,2,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0.0,0,0.0,9,347.61205075273585,0.014884722975941761,0.022192261691352324,78.40970298214424,0.0,2,2,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0.0,0,0.0,22,1664.0,0.03030303,0.032424242,0.0,0.0,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
1,83.95132307661387,0,0.0,31,1360.1203384671135,0.004041037989355078,0.023091053463828153,5.535908290416663,0.0,3,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0.0,0,0.0,22,657.42,0.021212121,0.046969697,0.0,0.0,3,2,3,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,16.139598729185806,0,0.0,31,817.359338657832,0.001605715118099435,0.02527224575360645,4.881578290835426,0.465119927382046,1,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
0,0.0,0,0.0,7,168.66662241950277,0.031695547777940355,0.04553630130604205,0.0,0.0,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,19.66666667,3,254.9166667,147,4254.666667,0.008445946,0.01925038,0.0,0.0,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3,173.8,2,124.8,7,411.6,0.0,0.017272727,0.0,0.0,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,31.768963750805796,0,0.0,1,0.0,0.0,0.05376472977023742,0.0,0.0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
0,0.18891830043825797,0,0.0,9,253.52770424890434,0.02,0.04,14.096397331241159,0.0,2,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,30.0,1,148.5,24,1530.194444,0.007407407,0.014814815,10.10222222,0.0,1,1,1,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0.0,0,0.0,11,399.6666667,0.054545455,0.072727273,0.0,0.8,2,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0.0,0,0.0,11,580.25,0.022222222,0.044444444,0.0,0.0,3,2,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2,102.0,0,0.0,4,268.0,0.0,0.013333333,0.0,0.0,2,2,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0.0,0,0.0,13,157.0,0.0,0.015384615,0.0,0.0,2,2,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
5,90.5675992078705,0,0.0,50,1899.1531726074236,0.01178302447631079,0.021177304161340563,2.321365562842706,0.0,1,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
0,5.214191743024594,2,77.28177047697166,96,3507.797365791412,0.00592867182504705,0.018962225161427076,0.0,0.0,2,2,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
5,173.2632132,0,0.0,49,1465.555338,0.02384954,0.023755148,20.6672459,0.0,3,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
1,4.0,0,0.0,0,0.0,0.0,0.066666667,0.0,0.0,4,1,8,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,98.5,1,21.25,46,1438.1,0.004255319,0.017801418,27.86366003,0.0,3,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0.0,0,0.0,2,15.0,0.0,0.1,0.0,0.0,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0.0,0,0.0,5,156.0,0.06,0.1,0.0,0.0,1,1,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,16.701910808869055,0,0.0,23,839.7058522812143,0.0005077023160130886,0.0020753701469925917,60.98353814280439,0.0,2,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5,442.0929813744555,1,35.8712377216473,47,1550.808254837579,0.0024481604796532013,0.020434336355832736,0.932889981503207,0.0,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,49.44895555901558,3,209.2347474576286,104,3019.557959141531,0.00746380890175786,0.02203895266944895,11.339845040063143,0.0,2,2,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
1,35.17373761410221,0,0.0,126,4826.11079199213,0.00359346303196115,0.013935798209903877,7.7898520875467385,0.0,2,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
6,253.0,0,0.0,21,686.4,0.003846154,0.012179487,0.0,0.0,1,1,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,67.5,2,100.2,17,1770.8,0.026315789,0.035087719,0.0,0.0,2,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3,15.0,0,0.0,102,4021.172222,0.0,0.01,0.0,0.0,2,2,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3,78.56167449844986,0,0.0,38,2518.276453094706,9.031349673748826e-05,0.005743567799307273,26.174249594332405,0.0,2,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
5,161.1076923,5,108.3,44,2982.063248,0.016352201,0.037389344,5.721365099,0.0,1,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
1,53.0,0,0.0,19,1007.9,0.0,0.005555556,0.0,0.0,1,1,3,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
9,628.5923182408449,1,58.18144617974631,34,886.0078636517177,0.011945768259513271,0.016406051725896098,9.867236861264486,0.0,2,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.0,0,0.0,4,135.5,0.0,0.05,0.0,0.6,2,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,0.0,0,0.0,2,83.0,0.0,0.05,0.0,0.6,1,2,2,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,0.0,0,0.0,27,513.0774057184944,0.006608824414834037,0.013343762455994921,2.5052205618807064,0.0,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0.0,0,0.0,11,335.0,0.036363636,0.060606061,0.0,0.0,3,2,1,13,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2,53.125,4,184.5,8,612.625,0.015384615,0.041538462,0.0,0.0,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
4,59.25,0,0.0,9,139.25,0.015384615,0.031538462,0.0,0.0,3,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
10,384.94503396673036,2,199.89648423908469,102,3714.15791503178,0.002787436827318402,0.013006433252325129,1.1547955108124208,0.0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6,764.8186037255356,0,12.192431616786251,36,1115.3776495907794,0.0007197421981127165,0.01584649215071681,42.128701514915704,0.0,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0.0,0,0.0,84,4894.851299,0.002682927,0.028446662,0.0,0.0,2,2,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
5,142.0,2,234.5,5,60.5,0.033333333,0.048148148,0.0,0.0,3,5,3,8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,56.273017975279615,0,0.0,38,1720.7839910841674,0.0,0.006968580874498595,119.38463888579972,0.0,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0.0,0,0.0,3,90.0,0.0,0.066666667,0.0,0.0,1,2,5,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,55.4,0,0.0,29,451.7,0.003448276,0.022988506,0.0,0.0,2,2,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,275.0,1,29.5,30,1107.047619,0.0,0.017760943,35.98106601,0.0,3,2,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
3,58.46747302398203,0,0.0,131,4426.022313035405,0.0016592688317845728,0.012614568639157692,3.952767528238601,0.0,2,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
0,0.0,0,0.0,7,705.8333333,0.028571429,0.085714286,0.0,0.0,5,11,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
15,311.6608770873388,2,119.67504100751937,235,9960.363141312768,0.00511720066782662,0.017311491279501448,6.203422472869235,0.0,2,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
4,27.0,0,0.0,9,79.25,0.0,0.046153846,0.0,0.0,2,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0.0,0,0.0,140,2404.831006,0.001428571,0.003142857,0.0,0.0,1,1,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0.0,0,0.0,2,16.2,0.0,0.1,0.0,0.0,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,0.0,0,0.0,27,321.6666667,0.051190476,0.07224026,0.0,0.8,3,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
6,72.01960784,4,343.0,157,4461.28524,8.08e-05,0.007018826,31.85608032,0.0,2,4,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
12,217.6491228,4,1009.733333,38,1639.069361,0.02173913,0.031621722,5.287005762,0.0,3,2,6,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0.0,0,0.0,3,0.0,0.2,0.2,0.0,0.0,1,1,4,10,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
7,159.14264565680645,0,4.540857663836798,79,2378.3373711054965,0.004675300449890658,0.019828113682121423,10.520448838735803,0.0,2,3,3,8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
1,8.212354049903274,0,0.0,47,2029.3286811832245,0.0038599743246671933,0.03531677453535423,4.715950866846821,0.0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0.0,0,0.0,26,648.4,0.0,0.018,0.0,0.0,1,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,23.0,0,0.0,3,1225.2,0.0,0.04,10.99901844,0.0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2,43.34609635175631,0,0.0,29,971.4746868890313,0.0013191741937617681,0.011695374607851068,13.671876699524969,0.09234218894621427,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2,28.2,0,0.0,12,271.0,0.0,0.014285714,0.0,0.0,1,8,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,227.0,0,0.0,3,164.0,0.0,0.013333333,0.0,0.0,1,1,3,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,1,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2,270.0,3,228.5,13,2451.0,0.0,0.021428571,42.22150549,0.0,2,2,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
5,155.82859442638323,1,13.219062950922158,33,2194.8417226404536,0.0,0.022875459048343573,5.611210952941782,0.0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3,86.35636826183377,0,0.0,26,1366.4085481418613,0.0,0.022048005239707378,25.19969729543969,0.0,2,2,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
3,79.75,0,0.0,3,73.5,0.04,0.077777778,0.0,0.0,3,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0.0,0,0.0,8,729.9341138475709,0.0,0.0032014504423940127,55.06970267584466,0.0,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2,14.0,0,0.0,8,57.0,0.0,0.057142857,0.0,0.0,1,2,4,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2,698.5,0,0.0,41,1053.841565,0.002990033,0.014327278,0.0,0.0,2,5,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
5,72.425,2,72.0,33,1143.657143,0.0,0.015888889,4.230212245,0.0,2,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,3,2,4,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3,72.0,0,0.0,12,871.5,0.015384615,0.030769231,0.0,0.0,2,2,9,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,5.155109596934132,0,1.1633219770059924,35,2238.470524578767,0.0,0.011449614984451918,46.1923565122466,0.0,2,4,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0.0,0,0.0,42,1433.083333,0.005,0.02575,0.0,0.4,2,2,1,11,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
8,127.37577216723962,0,0.0,28,625.4099821483903,0.015291530264597874,0.02520199166654053,12.916649078876587,0.0,2,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0.0,0,0.0,11,194.5,0.036363636,0.045454545,0.0,0.0,2,10,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,0.0,2,6.5,63,5826.333333,0.000793651,0.026719577,0.0,0.0,3,2,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
5,85.16666667,1,8.0,95,3715.777564,0.01010101,0.011851852,0.0,0.0,2,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
12,244.25,0,0.0,110,4006.359314,0.01,0.030496867,11.10333103,0.0,2,7,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
